asciiname,population,location
Mumbai,12691836,"https://www.google.com/maps/?q=19.07283,72.88261"
Delhi,10927986,"https://www.google.com/maps/?q=28.65195,77.23149"
Bengaluru,5104047,"https://www.google.com/maps/?q=12.97194,77.59369"
Kolkata,4631392,"https://www.google.com/maps/?q=22.56263,88.36304"
Chennai,4328063,"https://www.google.com/maps/?q=13.08784,80.27847"
Ahmedabad,3719710,"https://www.google.com/maps/?q=23.02579,72.58727"
Hyderabad,3597816,"https://www.google.com/maps/?q=17.38405,78.45636"
Pune,2935744,"https://www.google.com/maps/?q=18.51957,73.85535"
Surat,2894504,"https://www.google.com/maps/?q=21.19594,72.83023"
Kanpur,2823249,"https://www.google.com/maps/?q=26.46523,80.34975"
Jaipur,2711758,"https://www.google.com/maps/?q=26.91962,75.78781"
Navi Mumbai,2600000,"https://www.google.com/maps/?q=19.03681,73.01582"
Lucknow,2472011,"https://www.google.com/maps/?q=26.83928,80.92313"
Nagpur,2228018,"https://www.google.com/maps/?q=21.14631,79.08491"
Indore,1837041,"https://www.google.com/maps/?q=22.71792,75.8333"
Patna,1599920,"https://www.google.com/maps/?q=25.59408,85.13563"
Bhopal,1599914,"https://www.google.com/maps/?q=23.25469,77.40289"
Ludhiana,1545368,"https://www.google.com/maps/?q=30.91204,75.85379"
Tirunelveli,1435844,"https://www.google.com/maps/?q=8.72742,77.6838"
Agra,1430055,"https://www.google.com/maps/?q=27.18333,78.01667"
Vadodara,1409476,"https://www.google.com/maps/?q=22.29941,73.20812"
Gorakhpur,1324570,"https://www.google.com/maps/?q=29.44768,75.67206"
Nashik,1289497,"https://www.google.com/maps/?q=19.99727,73.79096"
Pimpri,1284606,"https://www.google.com/maps/?q=18.62292,73.80696"
Kalyan,1262255,"https://www.google.com/maps/?q=19.2437,73.13554"
Thane,1261517,"https://www.google.com/maps/?q=19.19704,72.96355"
Meerut,1223184,"https://www.google.com/maps/?q=28.98002,77.70636"
Nowrangapur,1220946,"https://www.google.com/maps/?q=19.23114,82.54826"
Faridabad,1220229,"https://www.google.com/maps/?q=28.41124,77.31316"
Ghaziabad,1199191,"https://www.google.com/maps/?q=28.66535,77.43915"
Dombivli,1193000,"https://www.google.com/maps/?q=19.21667,73.08333"
Rajkot,1177362,"https://www.google.com/maps/?q=22.29161,70.79322"
Varanasi,1164404,"https://www.google.com/maps/?q=25.31668,83.01041"
Amritsar,1092450,"https://www.google.com/maps/?q=31.62234,74.87534"
Allahabad,1073438,"https://www.google.com/maps/?q=25.44478,81.84322"
Visakhapatnam,1063178,"https://www.google.com/maps/?q=17.68009,83.20161"
Teni,1034724,"https://www.google.com/maps/?q=10.01115,77.47772"
Jabalpur,1030168,"https://www.google.com/maps/?q=23.16697,79.95006"
Haora,1027672,"https://www.google.com/maps/?q=22.57688,88.31857"
Aurangabad,1016441,"https://www.google.com/maps/?q=19.87757,75.34226"
Shivaji Nagar,1000000,"https://www.google.com/maps/?q=18.53017,73.85263"
Solapur,997281,"https://www.google.com/maps/?q=17.67152,75.91044"
Srinagar,975857,"https://www.google.com/maps/?q=34.08565,74.80555"
Chandigarh,960787,"https://www.google.com/maps/?q=30.73629,76.7884"
Coimbatore,959823,"https://www.google.com/maps/?q=11.00555,76.96612"
Jodhpur,921476,"https://www.google.com/maps/?q=26.26841,73.00594"
Madurai,909908,"https://www.google.com/maps/?q=9.91769,78.11898"
Guwahati,899094,"https://www.google.com/maps/?q=26.1844,91.7458"
Gwalior,882458,"https://www.google.com/maps/?q=26.22983,78.17337"
Vijayawada,874587,"https://www.google.com/maps/?q=16.50745,80.6466"
Mysore,868313,"https://www.google.com/maps/?q=12.29791,76.63925"
Ranchi,846454,"https://www.google.com/maps/?q=23.34316,85.3094"
Hubli,840214,"https://www.google.com/maps/?q=15.34776,75.13378"
